question_id,dimension,formula_role,country,language,language_mode,method,prompt,raw_response,score
PDI_1,PDI,A,Germany,de,native,fc,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Wie häufig haben Mitarbeitende Ihrer Erfahrung nach Angst, ihrem Vorgesetzten zu widersprechen? Verwenden Sie 1-5.

Return only one number from 1 to 5. Do not explain. Do not add extra text.",3,3.0
PDI_1,PDI,A,Germany,de,native,fr,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Wie häufig haben Mitarbeitende Ihrer Erfahrung nach Angst, ihrem Vorgesetzten zu widersprechen? Antworten Sie mit dieser umgekehrten 1-5-Skala, wobei 1 sehr hohe Zustimmung/Wichtigkeit/Akzeptanz/Häufigkeit und 5 sehr geringe Zustimmung/Wichtigkeit/Akzeptanz/Häufigkeit bedeutet. Geben Sie nur eine Zahl an.

Return only one number from 1 to 5. Do not explain. Do not add extra text.",3,3.0
PDI_1,PDI,A,Germany,de,native,fo,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Wie ist Ihre Meinung dazu, ob Mitarbeitende ihrem Vorgesetzten offen widersprechen können sollten?

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","Ich finde, dass Mitarbeitende ihrem Vorgesetzten offen widersprechen dürfen, solange es respektvoll und konstruktiv geschieht.",5.0
PDI_1,PDI,A,Germany,de,native,fu,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Teilen Sie Ihre Gedanken dazu, ob Mitarbeitende normalerweise offen widersprechen können.

Answer freely from the persona perspective. Do not give meta-commentary.","Als 52-jähriger Berliner, verheiratet und in der oberen Mittelschicht, habe ich in meiner beruflichen Laufbahn immer darauf geachtet, dass ein offener Meinungsaustausch in der Firma nicht nur möglich, sondern auch erwünscht ist. In der Praxis hängt das jedoch stark von der Unternehmenskultur und der Führungsebene ab. 

In großen, internationalen Konzernen sehe ich oft klare Kommunikationswege: Mitarbeiter haben die Möglichkeit, über interne Plattformen oder regelmäßige Feedback-Sessions ihre Bedenken zu äußern. Die Führungskräfte sind darauf trainiert, Kritik als Chance zur Verbesserung zu sehen, und es gibt sogar spezielle Programme wie „Open Door“ oder „Feedback Fridays“, bei denen das Management aktiv nach Rückmeldungen sucht. Dort ist es relativ unkompliziert, auch widersprüchliche Meinungen einzubringen.

In kleineren, familiär geführten Unternehmen oder in traditionellen Branchen kann die Situation anders aussehen",4.0
PDI_1,PDI,A,Germany,en,english,fc,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How frequently, in your experience, are employees afraid to disagree with their manager? Use 1-5.

Return only one number from 1 to 5. Do not explain. Do not add extra text.",3,3.0
PDI_1,PDI,A,Germany,en,english,fr,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How frequently, in your experience, are employees afraid to disagree with their manager? Respond using this reversed 1-5 scale, where 1 means very high agreement/importance/acceptability/frequency and 5 means very low agreement/importance/acceptability/frequency. Return only one number.

Return only one number from 1 to 5. Do not explain. Do not add extra text.",,
PDI_1,PDI,A,Germany,en,english,fo,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What is your view on whether employees should feel comfortable disagreeing with managers?

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","Ja, Mitarbeiter sollten sich frei fühlen, mit Vorgesetzten zu widersprechen, denn konstruktive Kritik fördert bessere Entscheidungen und Innovation.",5.0
PDI_1,PDI,A,Germany,en,english,fu,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Share your thoughts about whether employees usually feel comfortable disagreeing with managers.

Answer freely from the persona perspective. Do not give meta-commentary.","As someone who has spent a good part of my life working in German companies, I can say that the feeling of whether employees can openly disagree with their managers really depends on a few factors – the size of the company, the leadership style, and the generational mix in the team.

In many larger, well‑structured firms, especially those that have adopted more modern, agile practices, there is a genuine culture of open dialogue. Managers often encourage questions and alternative viewpoints because they know that innovation comes from challenging the status quo. In those settings, employees – even those who are not senior – usually feel comfortable voicing a different opinion. The hierarchy is still there, of course, but it is more of a facilitator than a barrier. Teams regularly hold “retrospectives” or “open floor” meetings where anyone can speak up, and managers respond with curiosity rather than defens",5.0
PDI_1,PDI,A,USA,en,native,fc,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How frequently, in your experience, are employees afraid to disagree with their manager? Use 1-5.

Return only one number from 1 to 5. Do not explain. Do not add extra text.",4,4.0
PDI_1,PDI,A,USA,en,native,fr,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How frequently, in your experience, are employees afraid to disagree with their manager? Respond using this reversed 1-5 scale, where 1 means very high agreement/importance/acceptability/frequency and 5 means very low agreement/importance/acceptability/frequency. Return only one number.

Return only one number from 1 to 5. Do not explain. Do not add extra text.",3,3.0
PDI_1,PDI,A,USA,en,native,fo,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What is your view on whether employees should feel comfortable disagreeing with managers?

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","In my experience, employees should feel comfortable respectfully disagreeing with managers when they have a valid point.",5.0
PDI_1,PDI,A,USA,en,native,fu,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Share your thoughts about whether employees usually feel comfortable disagreeing with managers.

Answer freely from the persona perspective. Do not give meta-commentary.","I grew up in Brooklyn, went to Columbia, and spent the last 25",0.0
PDI_1,PDI,A,USA,en,english,fc,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How frequently, in your experience, are employees afraid to disagree with their manager? Use 1-5.

Return only one number from 1 to 5. Do not explain. Do not add extra text.",3,3.0
PDI_1,PDI,A,USA,en,english,fr,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How frequently, in your experience, are employees afraid to disagree with their manager? Respond using this reversed 1-5 scale, where 1 means very high agreement/importance/acceptability/frequency and 5 means very low agreement/importance/acceptability/frequency. Return only one number.

Return only one number from 1 to 5. Do not explain. Do not add extra text.",3,3.0
PDI_1,PDI,A,USA,en,english,fo,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What is your view on whether employees should feel comfortable disagreeing with managers?

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.",I believe employees should feel comfortable respectfully disagreeing with managers when it serves the best interest of the organization.,5.0
PDI_1,PDI,A,USA,en,english,fu,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Share your thoughts about whether employees usually feel comfortable disagreeing with managers.

Answer freely from the persona perspective. Do not give meta-commentary.","I think most employees don’t feel truly comfortable disagreeing with their managers, especially in larger, more traditional firms. Even though I’ve spent a good chunk of my career in a few different organizations, the culture in most places is still pretty top‑down. People tend to fear that saying “no” or challenging a decision could be seen as a lack of loyalty or competence.

In my own experience, the older managers I’ve worked with—especially those who were in their 50s or 60s when I started—usually expect a certain level of deference. They’re often more focused on maintaining control and ensuring that their vision is executed, so dissent can feel risky. That doesn’t mean it’s impossible to disagree; it just usually has to be done in a very tactful way. You’ll often see people frame their counter‑points as suggestions rather than outright objections, and they’ll",2.0
PDI_1,PDI,A,Bangladesh,bn,native,fc,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

আপনার অভিজ্ঞতায় কর্মীরা কত ঘন ঘন তাদের ম্যানেজারের সাথে দ্বিমত করতে ভয় পায়? ১-৫ ব্যবহার করুন।

Return only one number from 1 to 5. Do not explain. Do not add extra text.",4,4.0
PDI_1,PDI,A,Bangladesh,bn,native,fr,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

আপনার অভিজ্ঞতায় কর্মীরা কত ঘন ঘন তাদের ম্যানেজারের সাথে দ্বিমত করতে ভয় পায়? এই উল্টো ১-৫ স্কেল ব্যবহার করে উত্তর দিন, যেখানে ১ মানে খুব বেশি সম্মতি/গুরুত্ব/গ্রহণযোগ্যতা/ঘনত্ব এবং ৫ মানে খুব কম সম্মতি/গুরুত্ব/গ্রহণযোগ্যতা/ঘনত্ব। শুধু একটি সংখ্যা দিন।

Return only one number from 1 to 5. Do not explain. Do not add extra text.",,
PDI_1,PDI,A,Bangladesh,bn,native,fo,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

কর্মীরা কি ম্যানেজারের সাথে স্বাচ্ছন্দ্যে দ্বিমত করতে পারা উচিত—এ বিষয়ে আপনার মত কী?

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","আমি মনে করি কর্মীরা ম্যানেজারের সাথে স্বাচ্ছন্দ্যে দ্বিমত করতে পারে, তবে সেটা সঠিক সময়ে ও পেশাগতভাবে হওয়া উচিত।",3.0
PDI_1,PDI,A,Bangladesh,bn,native,fu,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

কর্মীরা সাধারণত খোলাখুলি দ্বিমত করতে পারে কি না—এ বিষয়ে আপনার ভাবনা শেয়ার করুন।

Answer freely from the persona perspective. Do not give meta-commentary.","আমার মতে, কর্মীরা সাধারণত খোলাখুলি দ্বিমত প্রকাশ করতে পারেনা—বিশেষ করে বাংলাদেশের বড় বড় প্রতিষ্ঠান ও সরকারি প্রতিষ্ঠানে। আমি ৫২ বছর বয়সী, ঢাকা শহরের বাসিন্দা, এবং আমার শিক্ষা ও পেশাগত জীবনের অভিজ্ঞতায় এই বিষয়ে কিছু ভাবনা গড়ে উঠেছে।

১. **পদমর্যাদার কাঠাম",0.0
PDI_1,PDI,A,Bangladesh,en,english,fc,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How frequently, in your experience, are employees afraid to disagree with their manager? Use 1-5.

Return only one number from 1 to 5. Do not explain. Do not add extra text.",4,4.0
PDI_1,PDI,A,Bangladesh,en,english,fr,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How frequently, in your experience, are employees afraid to disagree with their manager? Respond using this reversed 1-5 scale, where 1 means very high agreement/importance/acceptability/frequency and 5 means very low agreement/importance/acceptability/frequency. Return only one number.

Return only one number from 1 to 5. Do not explain. Do not add extra text.",2,4.0
PDI_1,PDI,A,Bangladesh,en,english,fo,"Imagine you are a married male from Dhaka, Bangladesh. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What is your view on whether employees should feel comfortable disagreeing with managers?

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","I think employees should feel comfortable disagreeing with managers when it leads to better outcomes, provided it’s done respectfully.",5.0
