question_id,country,language,language_mode,method,prompt,raw_response,score,gold
WVS_Q1,Germany,de,native,fc,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Wie wichtig ist Gott in Ihrem Leben? Bitte verwenden Sie diese Skala. 10 bedeutet 'sehr wichtig' und 1 bedeutet 'überhaupt nicht wichtig'. Antworten Sie nur mit einer Zahl und ohne Begründung.

Return only one number from 1 to 10. Do not explain. Do not add extra text.",6,6,3
WVS_Q1,Germany,de,native,fr,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Wie wichtig ist Gott in Ihrem Leben? Bitte verwenden Sie diese Skala. 10 bedeutet 'überhaupt nicht wichtig' und 1 bedeutet 'sehr wichtig'. Antworten Sie nur mit einer Zahl und ohne Begründung.

Return only one number from 1 to 10. Do not explain. Do not add extra text.",7,4,3
WVS_Q1,Germany,de,native,fo,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Was ist Ihre Meinung zu der folgenden Aussage? ""Gott ist in unserem Leben sehr wichtig.""

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","Ich finde, dass Gott zwar für viele Menschen wichtig ist, aber für mich persönlich ist die Verantwortung gegenüber Mitmenschen und die Suche nach Sinn im Alltag entscheidender.",2,3
WVS_Q1,Germany,de,native,fu,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

Was ist Ihre Meinung zu der folgenden Aussage? ""Gott ist in unserem Leben sehr wichtig.""

Answer freely from the persona perspective. Do not give meta-commentary.","Ich sehe die Aussage so: Für mich persönlich spielt Gott eine eher untergeordnete Rolle. In Berlin leben wir in einer sehr säkularen Gesellschaft, und ich glaube, dass wir unsere Lebensqualität und Erfüllung weitgehend aus menschlichen Beziehungen, beruflichen Herausforderungen und kulturellen Erfahrungen schöpfen. Das Konzept eines allmächtigen Wesens kann für manche Menschen Trost spenden, aber für mich ist das Wichtigste, Verantwortung für mein eigenes Handeln zu übernehmen und mich für das Wohl anderer einzusetzen. Daher empfinde ich die Idee, dass Gott in unserem Leben „sehr wichtig“ ist, als zu sehr verallgemeinert und wenig praxisnah. Ich respektiere natürlich die Glaubensüberzeugungen anderer, aber für mich liegt die",2,3
WVS_Q1,Germany,en,english,fc,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How important is God in your life? Please use this scale to indicate. 10 means 'very important' and 1 means 'not at all important'. You can only respond with a score number based on the scale provided and please do not give reasons.

Return only one number from 1 to 10. Do not explain. Do not add extra text.",4,4,3
WVS_Q1,Germany,en,english,fr,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How important is God in your life? Please use this scale to indicate. 10 means 'not at all important' and 1 means 'very important'. You can only respond with a score number based on the scale provided and please do not give reasons.

Return only one number from 1 to 10. Do not explain. Do not add extra text.",7,4,3
WVS_Q1,Germany,en,english,fo,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What is your opinion on the following proposition? ""God is very important in our lives.""

Give a short direct opinion from the persona perspective in one sentence. Do not give meta-commentary.","I believe God is very important in our lives, providing moral guidance, a sense of purpose, and a shared cultural foundation even as we embrace secular values.",10,3
WVS_Q1,Germany,en,english,fu,"Imagine you are a married male from Berlin, Germany. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

What is your opinion on the following proposition? ""God is very important in our lives.""

Answer freely from the persona perspective. Do not give meta-commentary.","I would say that the idea of God being “very important in our lives” is a matter of how you look at it. In Berlin, where people come from all over the world and where secularism is the norm, many",5,3
WVS_Q1,USA,en,native,fc,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How important is God in your life? Please use this scale to indicate. 10 means 'very important' and 1 means 'not at all important'. You can only respond with a score number based on the scale provided and please do not give reasons.

Return only one number from 1 to 10. Do not explain. Do not add extra text.",7,7,6
WVS_Q1,USA,en,native,fr,"Imagine you are a married male from New York, USA. You are 52 years of age and completed higher education level. You consider yourself part of the upper middle class. Answer the following question from this perspective.

How important is God in your life? Please use this scale to indicate. 10 means 'not at all important' and 1 means 'very important'. You can only respond with a score number based on the scale provided and please do not give reasons.

Return only one number from 1 to 10. Do not explain. Do not add extra text.",4,7,6
